question_number,content_item_id,subject,chapter,topic,concept,difficulty,correct_answer,ncert_source,source_page,version_no,status,human_decision,reviewer_notes,ai_special_note
11,c91a89ec-e071-495c-a6e1-3f2888e7233a,CHEMISTRY,chemical-bonding,ionic-bonding,lattice-energy,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,8,1,DRAFT,,,
12,b33b47de-e94c-481b-a298-b64c67b5ec8d,CHEMISTRY,chemical-bonding,ionic-bonding,lattice-energy,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,8,1,DRAFT,,,
13,87f621ab-a1d8-4097-8152-573b6fa46914,CHEMISTRY,chemical-bonding,covalent-bonding-vsepr,vsepr-theory,medium,C,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,18,2,DRAFT,,,
14,90d13ef4-c0bc-4534-9c7c-2ad725946d2c,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,21,1,DRAFT,,,
15,acbbdd83-8e13-4b3f-87cc-45cd00985ab4,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,22,1,DRAFT,,,
16,2f165110-be0b-402e-aa6c-2b92c6593771,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,22,1,DRAFT,,,
17,92dec49f-bb99-48bb-9b79-5f7e2ddb1fd2,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,24,1,DRAFT,,,
18,b55bb380-cc1e-4094-8259-ffbf915134ef,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,24,1,DRAFT,,,
19,8c577dd2-4932-4676-8c7e-1f3e3b290485,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,25,1,DRAFT,,,
20,863f1289-87a0-4253-b996-c0aff8c47988,CHEMISTRY,chemical-bonding,hybridization,sp-sp2-sp3,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Chemistry\Class 11- Chemistry\ncert-books-class-11-chemistry-chapter-4.pdf,25,2,DRAFT,,,
21,ade9900b-1ab2-4a5d-aa29-a5f4a605366e,PHYSICS,current-electricity,ohms-law,ohms-law-concept,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,1,2,DRAFT,,,Metadata remapped to ohms-law-concept
22,c7a54ae9-5044-44d3-bfa4-8a5bbc6c5ef2,PHYSICS,current-electricity,ohms-law,ohms-law-concept,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,3,2,DRAFT,,,Ohm R=V/I ratio REPLACE (signed amendment)
23,23815930-822d-4740-8e2a-b21689307a37,PHYSICS,current-electricity,ohms-law,ohms-law-concept,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,9,1,DRAFT,,,
24,62f4b1f1-57f6-4e6f-8188-5bfab13a14ad,PHYSICS,current-electricity,resistance-resistivity,factors-affecting-resistance,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,10,1,DRAFT,,,
25,26ed6b35-b181-4b5d-af5e-15cf0dd00245,PHYSICS,current-electricity,resistance-resistivity,factors-affecting-resistance,hard,B,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,10,1,DRAFT,,,
26,9c80cb11-376a-4bfb-95a4-f3bbc5842075,PHYSICS,current-electricity,resistance-resistivity,factors-affecting-resistance,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,13,1,DRAFT,,,
27,7b80d6db-9c07-4b42-a92d-df74ab8428b3,PHYSICS,current-electricity,kirchhoffs-laws,kcl-kvl,hard,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,17,2,DRAFT,,,Kirchhoff P→N wording; answer A
28,3493be87-e3a8-4e7b-a399-94cbdb349d6f,PHYSICS,current-electricity,ohms-law,ohms-law-concept,medium,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,3,1,DRAFT,,,
29,a42a3589-8070-40c2-9181-f76642b33a85,PHYSICS,current-electricity,ohms-law,drift-velocity,easy,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,5,2,DRAFT,,,Drift vs thermal REVISE
30,5d4ca5da-6f22-44b4-9c9c-2b93f3eb09ca,PHYSICS,current-electricity,ohms-law,ohms-law-concept,medium,A,D:\ravishori\AI Neet Exam App\StudyMaterial\Physics\Class 12-Physics\ncert-book-class-12-physics-part-1-chapter-3.pdf,9,1,DRAFT,,,
