question_id,subject,class,chapter,topic,provider,difficulty,question_type,question,option_A,option_B,option_C,option_D,proposed_answer,NCERT_source,validator_verdict,human_stem,human_option_A,human_option_B,human_option_C,human_option_D,human_answer,human_explanation,human_ncert_support,human_ambiguity,human_duplicate,human_difficulty,human_neet_suitability,human_overall,reviewer_notes,preaudit_answer_check,preaudit_answer_confidence,preaudit_calculation_check,preaudit_calculated_answer,preaudit_calculation_notes,preaudit_stem_issue,preaudit_stem_severity,preaudit_option_quality,preaudit_option_issue,preaudit_option_severity,preaudit_ncert_support,preaudit_ncert_issue,preaudit_scientific_issue,preaudit_scientific_severity,preaudit_assertion_reason_check,preaudit_question_type_check,preaudit_neet_suitability,preaudit_independent_difficulty,preaudit_duplicate_status,preaudit_duplicate_question_id,preaudit_duplicate_similarity,preaudit_priority,preaudit_verdict,preaudit_reason,preaudit_recommended_action,preaudit_version
p3-mcq-0102-c1d910d1,BIOLOGY,12,5,Human Genome Project,gemini,HARD,conceptual,"Based on the details provided in the NCERT text regarding the scale and data storage requirements of the Human Genome Project (HGP), consider the following statements:

Statement I: If human DNA contains approximately $3 \times 10^9$ base pairs, storing its typed sequence at a rate of 1000 letters per page in 1000-page books would require 3300 such books for a single human cell.
Statement II: The launch of the Human Genome Project in 1990 was primarily facilitated by the availability of genetic engineering techniques for isolating/cloning DNA and simple, fast sequencing methods.
Statement III: The U.S. Department of Energy and the National Institute of Health coordinated the HGP, which was planned as a 13-year project and completed in 2003.

Which of the statements given above are correct?",I and II only,II and III only,I and III only,"I, II and III",D,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-5.pdf,MAJOR_REVISION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options; near_duplicate_options,MAJOR,SUPPORTED_INFERENCE,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,HARD,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0120-193298b9,BIOLOGY,12,13,chapter-13-page-6,gemini,MEDIUM,statement_based,"Consider the following statements regarding ecosystem stability and biodiversity based on the experiments of David Tilman:

Statement I: Plots with more species showed less year-to-year variation in total biomass.
Statement II: Increased diversity in outdoor plots contributed to higher productivity.

In the light of the above statements, choose the correct answer from the options given below:",Both Statement I and Statement II are correct.,Both Statement I and Statement II are incorrect.,Statement I is correct but Statement II is incorrect.,Statement I is incorrect but Statement II is correct.,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-13.pdf,MAJOR_REVISION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0146-d2bd4181,BIOLOGY,11,2,chapter-2-page-4,openai,HARD,assertion_reasoning,Assertion (A): Archaebacteria are specialized bacteria that thrive in extreme habitats. Reason (R): Eubacteria are characterized by a rigid cell wall and play a significant role in human affairs.,"Both A and R are true, and R is the correct explanation of A.","Both A and R are true, but R is NOT the correct explanation of A.","A is true, but R is false.","A is false, but R is true.",A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-2.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,INCONCLUSIVE,0.6,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options,MAJOR,DIRECT,,,NONE,assertion_true=UNKNOWN;reason_true=UNKNOWN;reason_explains_assertion=FALSE;proposed_option_correct=QUESTIONABLE,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0152-fdf4d1df,BIOLOGY,11,8,chapter-8-page-7,openai,EASY,application,Which of the following structures is primarily responsible for motility in bacterial cells?,Pili,Fimbriae,Flagella,Ribosomes,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-8.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,EASY,UNIQUE,,0.0,MEDIUM,PREAUDIT_REVIEW,question_type_mismatch; neet_suitability_concern,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0165-c587b36e,BIOLOGY,11,2,chapter-2-page-1,gemini,EASY,conceptual,"Which simple morphological characters were used by Aristotle to classify plants into trees, shrubs, and herbs?",Cell structure and presence of cell wall,Mode of nutrition and habitat,Simple morphological characters,Evolutionary relationships and gross anatomy,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-2.pdf,READY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,EASY,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0168-bb43512e,BIOLOGY,11,11,chapter-11-page-7,gemini,HARD,factual,"Based on the chromatographic separation of leaf pigments described in NCERT, match the following pigments with their corresponding colors observed in the chromatogram:

(p) Chlorophyll a — (i) Yellow green
(q) Chlorophyll b — (ii) Yellow to yellow-orange
(r) Xanthophylls — (iii) Bright or blue green
(s) Carotenoids — (iv) Yellow

Choose the correct combination:","p-(iii), q-(i), r-(iv), s-(ii)","p-(i), q-(iii), r-(iv), s-(ii)","p-(iii), q-(iv), r-(i), s-(ii)","p-(i), q-(iii), r-(ii), s-(iv)",A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-11.pdf,MAJOR_REVISION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,HARD,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0174-b6e91065,BIOLOGY,11,4,chapter-4-page-1,gemini,MEDIUM,assertion_reasoning,"Given below are two statements: one is labelled as Assertion (A) and the other is labelled as Reason (R).

Assertion (A): Sponges exhibit a cellular level of organisation.
Reason (R): In sponges, tissues are grouped together to form organs, each specialised for a particular function.

In the light of the above statements, choose the correct answer from the options given below:",Both (A) and (R) are true and (R) is the correct explanation of (A).,Both (A) and (R) are true but (R) is NOT the correct explanation of (A).,(A) is true but (R) is false.,(A) is false but (R) is true.,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-4.pdf,MAJOR_REVISION,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options,MAJOR,SUPPORTED_INFERENCE,,,NONE,assertion_true=UNVERIFIED;reason_true=UNVERIFIED;reason_explains_assertion=UNVERIFIED;proposed_option=C,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0197-541b1504,BIOLOGY,12,5,chapter-5-page-13,openai,MEDIUM,statement_based,What is the primary reason that only one strand of DNA is copied during the process of transcription?,To prevent the production of two different RNA sequences from the same DNA segment.,To ensure that all proteins are identical in structure.,To allow for the simultaneous transcription of multiple genes.,To eliminate the need for a promoter in transcription.,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-5.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,MEDIUM,UNIQUE,,0.0,MEDIUM,PREAUDIT_REVIEW,question_type_mismatch; neet_suitability_concern,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0200-44affd4a,BIOLOGY,11,17,chapter-17-page-6,openai,HARD,conceptual,What initiates muscle contraction according to the NCERT biology excerpt?,A neural signal from the central nervous system.,The release of calcium ions into the sarcoplasm.,The binding of ATP to myosin heads.,The shortening of the sarcomere.,A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-17.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0204-21204b82,BIOLOGY,11,17,chapter-17-page-12,gemini,MEDIUM,statement_based,"Consider the following statements regarding muscle tissue and contraction based on the given text:

Statement I: The active sites for myosin on resting actin filaments are masked by troponin.
Statement II: Skeletal muscles are non-striated and voluntary in nature, whereas visceral muscles are striated and involuntary.

Choose the correct option from the following:",Both Statement I and Statement II are correct.,Both Statement I and Statement II are incorrect.,Statement I is correct but Statement II is incorrect.,Statement I is incorrect but Statement II is correct.,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-17.pdf,REJECT,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0207-2c93fb1a,BIOLOGY,11,13,chapter-13-page-3,gemini,HARD,conceptual,Which of the following cellular features correctly characterizes the cells present in the meristematic phase of plant growth?,Presence of thick secondary cellulosic cell walls and small inconspicuous nuclei.,"Primary, thin, and cellulosic cell walls with abundant plasmodesmatal connections and large conspicuous nuclei.","Cell walls with reduced plasmodesmatal connections, depleted protoplasm, and secondary thickening.",Protoplasm-deficient cells with thick primary walls located distal to the root apex.,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-13.pdf,READY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,HARD,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0213-0fc42bf8,BIOLOGY,11,10,chapter-10-page-11,gemini,MEDIUM,match_relationship,"Match the events occurring during the cell cycle (List I) with their corresponding descriptions or stages (List II) as per the chapter exercises:

List I:
(a) Pairing between homologous chromosomes
(b) X-shaped structures formed during meiotic prophase
(c) Stage where centromeres split and chromatids separate
(d) Stage where chromosomes move to spindle equator

List II:
(i) Metaphase
(ii) Anaphase
(iii) Synapsis
(iv) Chiasmata","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(i), (c)-(ii), (d)-(iv)","(a)-(ii), (b)-(iv), (c)-(iii), (d)-(i)",A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-10.pdf,REJECT,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0224-f2dfe739,BIOLOGY,12,1,chapter-1-page-23,openai,MEDIUM,factual,What is the function of the integuments in the ovule of flowering plants?,They surround and protect the developing embryo.,They facilitate the transport of nutrients to the ovule.,They form the micropyle through which pollen enters.,They contribute to the formation of the embryo sac.,A,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-1.pdf,INCONCLUSIVE,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,GOOD,,NONE,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,LOW,PREAUDIT_REVIEW,no_obvious_defect_in_automated_screening,LIKELY_ACCEPT,p2_3_pre_human_audit_v1
p3-mcq-0225-7651dbf0,BIOLOGY,12,10,chapter-10-page-6,gemini,MEDIUM,statement_based,"Consider the following statements regarding insulin synthesis and gene therapy based on the provided text:

Statement I: Pro-insulin contains an extra stretch called the C peptide, which is removed during its maturation into functional insulin.
Statement II: Enzyme replacement therapy and bone marrow transplantation offer a completely permanent cure for adenosine deaminase (ADA) deficiency.

Which of the following options correctly evaluates Statement I and Statement II?",Both Statement I and Statement II are correct.,Both Statement I and Statement II are incorrect.,"Statement I is correct, but Statement II is incorrect.","Statement I is incorrect, but Statement II is correct.",C,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-10.pdf,READY,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,NOT_CHECKED,0.0,NOT_APPLICABLE,,,,NONE,WEAK,near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_CORRECT,SUITABLE,MEDIUM,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
p3-mcq-0240-3c9e5496,BIOLOGY,11,12,chapter-12-page-6,gemini,HARD,numerical,"Based on the details provided in the text regarding the oxidative decarboxylation of pyruvate, how many molecules of CO2 and NADH + H+ in total are produced when 6 molecules of pyruvic acid undergo this reaction in the mitochondrial matrix?",3 molecules of CO2 and 3 molecules of NADH + H+,6 molecules of CO2 and 6 molecules of NADH + H+,12 molecules of CO2 and 6 molecules of NADH + H+,6 molecules of CO2 and 12 molecules of NADH + H+,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-12.pdf,REJECT,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,,INCONCLUSIVE,0.25,INCONCLUSIVE,,No deterministic calculator matched this numerical pattern,,NONE,WEAK,near_duplicate_options; near_duplicate_options; near_duplicate_options; near_duplicate_options; near_duplicate_options; near_duplicate_options,MAJOR,DIRECT,,,NONE,,TYPE_MISMATCH,QUESTIONABLE,HARD,UNIQUE,,0.0,HIGH,PREAUDIT_REVIEW,distractor_quality_issue; question_type_mismatch; neet_suitability_concern,HUMAN_REVIEW_OPTIONS,p2_3_pre_human_audit_v1
