question_id,year,paper_set,question_number,source_page,flag,classification,severity,evidence,parser_fault,release_blocker,reviewer_confidence
a1c3361678271d6e:p24:q162,2023,Paper-20231108004832,162,24,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
a1c3361678271d6e:p26:q172,2023,Paper-20231108004832,172,26,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
a43894b5fbc8cd28:p9:q3,2023,Paper-20231108011342,3,9,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
b69d582ff457c62e:p14:q55,2024,Paper-20250124133115,55,14,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
b69d582ff457c62e:p20:q81,2024,Paper-20250124133115,81,20,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
b69d582ff457c62e:p31:q138,2024,Paper-20250124133115,138,31,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
cd4583ce844d9f5c:p5:q1,2024,Paper-20250124133206,1,5,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
cd4583ce844d9f5c:p11:q68,2024,Paper-20250124133206,68,11,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
cd4583ce844d9f5c:p14:q97,2024,Paper-20250124133206,97,14,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
d11cf53d4d8ef5b0:p30:q195,2023,Paper-20231108005321,195,30,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
dbdcfa0a13d13467:p12:q75,2023,Paper-20231108011242,75,12,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
dbdcfa0a13d13467:p25:q165,2023,Paper-20231108011242,165,25,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
df0707ec85be4616:p14:q92,2023,Paper-20231108011936,92,14,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
ee3990aec2dfa279:p8:q52,2023,Paper-20231108010507,52,8,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
f46063650ca02ee5:p13:q84,2023,Paper-20231108011127,84,13,option_contains_foreign_question_marker,OCR_ARTIFACT,LOW,Embedded page/question numbers in OCR option text only,FALSE,False,MEDIUM
f5378eb6785774c3:p8:q52,2023,Paper-20231108010032,52,8,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
f5378eb6785774c3:p14:q86,2023,Paper-20231108010032,86,14,option_contains_foreign_question_marker,OCR_ARTIFACT,MEDIUM,Foreign marker heuristic triggered; no clear semantic contamination,INCONCLUSIVE,False,LOW
f5378eb6785774c3:p21:q145,2023,Paper-20231108010032,145,21,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
f7a45c960ede2f29:p2:q3,2025,NEET-2025-EN-48,3,2,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,CRITICAL,Foreign question stem/text embedded in option field,TRUE,True,HIGH
f7a45c960ede2f29:p13:q64,2025,NEET-2025-EN-48,64,13,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
f7a45c960ede2f29:p28:q164,2025,NEET-2025-EN-48,164,28,option_contains_foreign_question_marker,REAL_EXTRACTION_ERROR,HIGH,Multi-line option contains foreign question marker pattern,TRUE,True,MEDIUM
