question_id,subject,class,chapter,topic,provider,difficulty,question,option_A,option_B,option_C,option_D,proposed_answer,NCERT_source,validator_verdict,human_stem,human_option_A,human_option_B,human_option_C,human_option_D,human_answer,human_explanation,human_ncert_support,human_ambiguity,human_duplicate,human_difficulty,human_overall,reviewer_notes
mcq-0381-d1cefd9c,BIOLOGY,11,5,Placentation in Flowering Plants,gemini,MEDIUM,Which of the following conditions correctly describes parietal placentation as given in the text?,Ovules are borne on the central axis and septa are completely absent.,Placenta forms a ridge along the ventral suture of the ovary with ovules in two rows.,Ovules develop on the inner wall or peripheral part of an ovary that becomes two-chambered due to a false septum.,Placenta is axial and ovules are attached to it in a multilocular ovary.,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0486-72b9d648,PHYSICS,11,12,Atomic Structure and States of Matter,gemini,EASY,"According to the provided text, what are the characteristic interatomic distances in solids, liquids, and gases respectively?","A few angstroms in solids, tens of angstroms in liquids, and thousands of angstroms in gases","A few angstroms in solids, a few angstroms in liquids, and tens of angstroms in gases","Tens of angstroms in solids, tens of angstroms in liquids, and thousands of angstroms in gases","A few angstroms in solids, tens of angstroms in liquids, and tens of angstroms in gases",B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-12.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0975-7ea4067b,BIOLOGY,12,3,Population Stabilisation and Birth Control,gemini,EASY,"According to the provided text, what was the approximate world population in the year 1900 and in 2011, respectively?",350 million and 1.2 billion,2 billion and 7.2 billion,2 billion and 6 billion,350 million and 7.2 billion,B,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-3.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0027-971dcba4,BIOLOGY,11,12,Respiration in Plants,gemini,EASY,Which intermediate of the respiratory pathway is withdrawn for the synthesis of fatty acids when the organism needs to synthesize them?,PGAL,Pyruvate,Acetyl CoA,Glycerol,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-12.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0651-8d9396ca,BIOLOGY,12,9,Biotechnology : Principles and Processes,gemini,EASY,"Regarding the action of restriction enzymes on DNA, which of the following statements is correct according to the provided text?",They cut the DNA strands exactly at the centre of the palindrome sites.,They leave overhanging single-stranded stretches called sticky ends on each strand.,Sticky ends form covalent bonds directly with their complementary cut counterparts.,Different restriction enzymes produce the same kind of sticky ends on DNA fragments.,B,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-9.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0180-4f5c33ba,PHYSICS,11,6,Equilibrium of a Rigid Body,gemini,MEDIUM,"Regarding the mechanical equilibrium of a rigid body, under what condition is the rotational equilibrium condition independent of the location of the origin about which the torques are taken?","It is always independent of the origin, regardless of the net force.",Only if the translational equilibrium condition holds for the rigid body.,Only if the body is completely at rest without any linear or angular velocity.,Only when the torques are taken about the center of mass.,B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0792-ed5d4595,BIOLOGY,12,1,Sexual Reproduction in Flowering Plants,gemini,EASY,Which of the following represents the junction between the ovule and the funicle?,Micropyle,Hilum,Chalaza,Nucellus,B,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-1.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0867-8aac40d7,BIOLOGY,11,7,Frogs - General Characteristics and Morphology,gemini,MEDIUM,"According to the provided excerpt, which of the following statements regarding the features and adaptations of frogs is correct?",The skin on the ventral side of the frog is olive green with dark irregular spots.,Frogs drink water through their mouth to keep their body hydrated.,The protective coloration that allows frogs to change colour to hide from enemies is called mimicry.,"The body of a frog is divided into three distinct regions: head, neck, and trunk.",C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-7.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0333-020a9ff8,BIOLOGY,11,15,Body Fluids and Circulation,gemini,MEDIUM,"Based on the provided excerpt regarding the human heart, which of the following statements is CORRECT?",Atrial systole increases the flow of blood into the ventricles by about 50 per cent.,The sino-atrial node (SAN) is located in the lower left corner of the right atrium.,Purkinje fibres arise from the right and left bundle branches throughout the ventricular musculature.,"During joint diastole, blood flows into the ventricles while the semilunar valves remain open.",C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-15.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0669-6ee565bd,PHYSICS,11,6,Conservation of Angular Momentum,gemini,EASY,"A child stands at the centre of a turntable with his arms outstretched, rotating with an initial angular speed of $40\text{ rev/min}$. If he folds his hands back and reduces his moment of inertia to $\frac{2}{5}$ times its initial value, assuming the turntable rotates without friction, what will be his new angular speed?",16 rev/min,100 rev/min,80 rev/min,50 rev/min,B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0684-9d9b91c9,PHYSICS,12,3,Current Electricity,gemini,EASY,Which of the following physical quantities is correctly matched with its dimensional formula according to the provided text?,Charge: [M L T–3 A–1],Resistivity: [M L3 T–3 A–2],Electric field: [M L2 T–3 A–2],Mobility: [M–1 L–3 T3 A2],B,Physics/Class 12-Physics/ncert-book-class-12-physics-part-1-chapter-3.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0726-e0210230,PHYSICS,11,12,Behaviour of Gases,gemini,EASY,Under which of the following conditions do real gases approximately satisfy the simple ideal gas relation PV = KT according to kinetic theory?,At high pressures and high temperatures near their liquefaction point,At low pressures and high temperatures much above their liquefaction or solidification temperature,At low pressures and low temperatures near their solidification point,At high pressures and low temperatures regardless of their liquefaction temperature,B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-12.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0633-43ebc7cc,CHEMISTRY,11,6,Effect of Concentration Change on Equilibrium,gemini,MEDIUM,"According to the excerpt, when a reactant or product is added to a system at equilibrium, a new equilibrium is established. How does the final concentration of the added substance compare to its concentration right after addition and its original concentration before addition?","Less than the original concentration, but more than what it was after addition.","More than what it was after addition, and more than the original concentration.","Less than what it was after addition, but more than what it was in the original mixture.",Equal to what it was in the original mixture before addition.,C,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0018-2dbdd0f3,PHYSICS,12,4,Motion in a Magnetic Field - Helical Path and Pitch,gemini,EASY,"According to the Biot-Savart law presented in the text, what is the pitch ($p$) of the helical path followed by a charged particle moving in a magnetic field?",$p = \frac{2\pi m v_{\parallel}}{q B}$,$p = \frac{2\pi m v_{\perp}}{q B}$,$p = \frac{m v_{\parallel}}{q B}$,$p = \frac{2\pi m v^2}{q B}$,A,Physics/Class 12-Physics/ncert-book-class-12-physics-part-1-chapter-4.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0156-58fa2a92,CHEMISTRY,12,1,Depression of Freezing Point,gemini,EASY,"According to the provided text, how is the freezing point of a substance defined?",The temperature at which the boiling point of the solution becomes equal to that of the pure solvent.,The temperature at which the vapour pressure of the substance in its liquid phase is equal to its vapour pressure in the solid phase.,The temperature at which the vapour pressure of the liquid solution is twice that of the pure solid solvent.,The temperature at which the molality of the solution is inversely proportional to the depression in freezing point.,B,Chemistry/Class 12- Chemistry/ncert-books-class-12-chemistry-chapter-1.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0453-21319dd9,BIOLOGY,11,2,Biological Classification,gemini,EASY,"Which of the following organisms completely lack a cell wall, are the smallest living cells known, and can survive without oxygen?",Diatoms,Mycoplasma,Dinoflagellates,Desmids,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-2.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0288-fd95c884,BIOLOGY,11,8,Cell: The Unit of Life - Prokaryotic Cell Surface Structures,gemini,EASY,Which of the following surface structures in bacteria are described as small bristle-like fibres sprouting out of the cell that help in attachment to rocks in streams and host tissues?,Pili,Fimbriae,Chromatophores,Flagella,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-8.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0285-3273ceae,CHEMISTRY,11,5,Measurement of ΔU and ΔH: Calorimetry,gemini,EASY,"In a bomb calorimeter experiment, why is no work done during the chemical reaction involving gases?",Because the pressure inside the bomb remains constant throughout the reaction.,Because the steel vessel is sealed and its volume does not change (ΔV = 0).,Because heat is completely lost to the external surroundings.,Because no heat transfer occurs between the bomb and the water bath.,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0858-3b1c312b,BIOLOGY,12,6,Hardy-Weinberg Equilibrium and Natural Selection,gemini,EASY,"According to the provided text, which of the following describes the outcome when natural selection leads to directional change in a population?",More individuals acquire the mean character value.,More individuals acquire character values other than the mean character value.,More individuals acquire peripheral character values at both ends of the distribution curve.,Allele frequencies remain strictly in Hardy-Weinberg equilibrium without any change.,B,Biology/Class 12-Biology/ncert-books-class-12-biology-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0060-00eca436,PHYSICS,11,5,Collisions,gemini,EASY,"When two equal masses undergo a glancing elastic collision with one of them initially at rest, what is the angle between their directions of motion after the collision?",0°,45°,90°,180°,C,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0057-430b2de8,BIOLOGY,11,11,Photosynthesis in Higher Plants - Chemiosmotic Hypothesis,gemini,EASY,"Regarding the ATP synthase enzyme in thylakoids, which of the following statements correctly describes the position and function of its CF0 and CF1 parts as per the provided text?",CF0 protrudes on the outer surface facing the stroma and undergoes conformational change.,CF0 is embedded in the thylakoid membrane and forms a transmembrane channel for facilitated diffusion of protons.,CF1 is embedded in the thylakoid membrane and actively pumps protons across the membrane into the lumen.,CF1 forms a transmembrane channel that carries out active transport of protons into the thylakoid lumen.,B,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-11.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0912-a67a9f91,CHEMISTRY,11,2,Particle Nature of Electromagnetic Radiation,gemini,EASY,Which of the following experimental phenomena could NOT be explained by classical physics (the electromagnetic theory of 19th century physics)?,Diffraction,Interference,Variation of heat capacity of solids as a function of temperature,Bending of wave around an obstacle,C,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-2.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0645-95b68154,BIOLOGY,11,1,Taxonomy and Systematics,gemini,EASY,Which of the following processes are listed in the NCERT excerpt as being basic to taxonomy?,"Characterisation, identification, classification and nomenclature","Systematics, identification, nomenclature and evolution","Morphology, anatomy, cytology and ecology","Binomial nomenclature, classification, systematics and phylogeny",A,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-1.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0984-d455bbe7,CHEMISTRY,12,6,Nomenclature of Dihaloalkanes,gemini,EASY,"According to the provided text, what type of halo-compound is formed when both halogen atoms of the same type are present on the same carbon atom?",Vinylic halide,Aryl halide,Geminal halide,Alkylene dihalide,C,Chemistry/Class 12- Chemistry/ncert-books-class-12-chemistry-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0993-9230897b,PHYSICS,11,13,Simple Harmonic Motion,gemini,EASY,"A locomotive piston moves with simple harmonic motion with an angular frequency of 200 rad/min. If the stroke length (twice the amplitude) of the piston is 1.0 m, what is its maximum speed?",50 m/min,100 m/min,200 m/min,400 m/min,B,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-13.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0210-7c161e40,PHYSICS,11,3,Motion in Space,gemini,MEDIUM,"Based on statement 3.20 in the provided text, which of the following relations is correct for any arbitrary motion in space?",$\mathbf{v}_{average} = \frac{1}{2} [\mathbf{v}(t_1) + \mathbf{v}(t_2)]$,$\mathbf{v}(t) = \mathbf{v}(0) + \mathbf{a} t$,$\mathbf{a}_{average} = \frac{\mathbf{v}(t_2) - \mathbf{v}(t_1)}{t_2 - t_1}$,$\mathbf{r}(t) = \mathbf{r}(0) + \mathbf{v}(0) t + \frac{1}{2} \mathbf{a} t^2$,C,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-3.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0969-335b957f,CHEMISTRY,11,9,Hydrocarbons - Halogenation of Alkanes,gemini,EASY,"According to the provided text, why is iodination of alkanes carried out in the presence of oxidizing agents such as HIO3 or HNO3?",Because iodination is too violent to be controlled without an oxidizing agent.,"Because iodination is very slow and a reversible reaction, and oxidizing agents react with HI to drive the reaction.",Because oxidizing agents prevent the formation of ethane as a byproduct.,Because oxidizing agents cleave the C–C bonds of alkanes faster than chlorine radicals.,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-9.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0942-82c2b1b6,PHYSICS,11,14,Waves - Introduction,gemini,EASY,"When cork pieces are placed on the surface of a still pond where pebbles are being dropped, what observation demonstrates that the water mass itself does not flow outward with the propagating circular pattern?",The cork pieces move radially outward along with the circular pattern.,The cork pieces sink to the bottom of the pond under the influence of the disturbance.,The cork pieces move up and down without moving away from the centre of disturbance.,The cork pieces remain completely stationary and undisturbed on the water surface.,C,Physics/Class 11-Physics/ncert-books-class-11-physics-chapter-14.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0825-07bd7cca,CHEMISTRY,11,9,Hydrocarbons,gemini,EASY,Which of the following reagent systems is known as Lindlar's catalyst?,Sodium in liquid ammonia,Palladised charcoal partially deactivated with poisons like sulphur compounds or quinoline,Potassium hydroxide dissolved in alcohol,Concentrated sulphuric acid with anhydrous zinc chloride,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-9.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0582-b5f06927,CHEMISTRY,11,6,Heterogeneous Equilibria,gemini,EASY,"For the heterogeneous equilibrium reaction:
Ag₂O(s) + 2HNO₃(aq) ⇌ 2AgNO₃(aq) + H₂O(l)

Which of the following correctly represents the expression for the equilibrium constant (Kc)?",Kc = [AgNO₃]² [H₂O] / ([Ag₂O] [HNO₃]²),Kc = [AgNO₃]² / [HNO₃]²,Kc = [AgNO₃] / [HNO₃],Kc = [AgNO₃]² / ([Ag₂O] [HNO₃]²),B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-6.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0816-bcbf6141,BIOLOGY,11,4,Class - Reptilia,gemini,EASY,Which of the following statements is INCORRECT regarding Class Reptilia based on the NCERT text?,They are mostly terrestrial animals with dry and cornified skin.,Snakes and lizards shed their scales as skin cast.,Reptiles are homoiothermous animals with a four-chambered heart in all members.,"Fertilisation is internal, they are oviparous, and development is direct.",C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-4.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0129-f8446af3,BIOLOGY,11,5,Morphology of Flowering Plants,gemini,EASY,"In a floral diagram, how is the position of the mother axis represented with respect to the flower?",By a line drawn above the symbols of the floral parts,By enclosing the numerical figure within a bracket,By a dot on the top of the floral diagram,By drawing a whorl in the center of the diagram,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0897-5aca7fea,BIOLOGY,11,19,Chemical Coordination and Integration,gemini,EASY,"Which of the following hormones acts primarily on the kidney to stimulate the resorption of water and electrolytes by the distal tubules, thereby preventing diuresis?",Oxytocin,Melatonin,Vasopressin,Thyroxine,C,Biology/Class 11-Biology/ncert-books-class-11-biology-chapter-19.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0480-6aabf071,CHEMISTRY,11,2,Structure of Atom,gemini,EASY,"A bromine atom possesses 35 electrons, containing 6 electrons in the 2p orbital, 6 electrons in the 3p orbital, and 5 electrons in the 4p orbital. Which of these electrons experiences the lowest effective nuclear charge?",Electrons in the 2p orbital,Electrons in the 3p orbital,Electrons in the 4p orbital,All p-orbital electrons experience the same effective nuclear charge,C,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-2.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0126-ee5ca111,CHEMISTRY,11,5,Mean Bond Enthalpy,gemini,EASY,"Based on the provided NCERT excerpt, what is the mean C–H bond enthalpy in methane (CH₄)?",427 kJ mol⁻¹,416 kJ mol⁻¹,1665 kJ mol⁻¹,439 kJ mol⁻¹,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-5.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0804-7b271799,CHEMISTRY,12,10,Nucleic Acids,gemini,EASY,"Which of the following nitrogenous bases is present exclusively in DNA and not in RNA, according to the provided text?",Adenine,Guanine,Cytosine,Thymine,D,Chemistry/Class 12- Chemistry/ncert-books-class-12-chemistry-chapter-10.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0921-e089d284,CHEMISTRY,11,6,Ionization of Acids and Bases,gemini,MEDIUM,"According to the provided text on acid-base dissociation equilibrium, in which direction will the equilibrium shift if HA is a stronger acid than H3O+?",In the direction of formation of the stronger acid.,In the direction of formation of the weaker acid.,Equilibrium will remain completely unaffected regardless of acid strength.,In the direction of complete suppression of A– ion formation.,B,Chemistry/Class 11- Chemistry/ncert-books-class-11-chemistry-chapter-6.pdf,FAIL,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
mcq-0375-f2cb4d16,CHEMISTRY,12,3,Chemical Kinetics,gemini,MEDIUM,"Based on the provided exercises for first-order reactions, what is the value of the activation energy ($E_a$) for the decomposition of a hydrocarbon that follows the equation $k = (4.5 \times 10^{11}\text{ s}^{-1}) e^{-28000\text{ K}/T}$?",$232.79 \text{ kJ mol}^{-1}$,$28000 \text{ J mol}^{-1}$,$179.9 \text{ kJ mol}^{-1}$,$4.5 \times 10^{11} \text{ J mol}^{-1}$,A,Chemistry/Class 12- Chemistry/ncert-books-class-12-chemistry-chapter-3.pdf,PASS,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,
