question_id,classification,severity,root_cause,evidence,release_blocker
b69d582ff457c62e:p20:q81,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Match List I with List II.
List I (Reaction) List II (Reagents/
Condition)
O
A OXD2Oro0 1k Oe
Anhyd.",False
b69d582ff457c62e:p31:q138,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Match List I with List II
List I List II
(Types of Stamens) (Example)
A. Monoadelphous I. — Citrus
B",False
cd4583ce844d9f5c:p5:q1,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=MSD represents 0.1 mm, the vernier constant
(in cm) is :",False
cd4583ce844d9f5c:p11:q68,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=— Intramolecular hydrogen bonding is present in 72
NO,",False
cd4583ce844d9f5c:p14:q97,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=For the given reaction:
.
Ons cH (major
+= cy KMnO,/H p
2 » product)
“P’ is",False
d11cf53d4d8ef5b0:p30:q195,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=Which one of the following is the sequence
. . :
on corresponding coding strand, if the
sequence on ",True
dbdcfa0a13d13467:p25:q165,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Which of the following functions is carried
out by cytoskeleton in a cell?",False
df0707ec85be4616:p14:q92,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Identify the major product obtained in the
following reaction :
fe)
+ Al Ag( NHs) ] +
+
H 3)
O
3-0n ",False
f5378eb6785774c3:p8:q52,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Intermolecular forces are forces of attraction
and repulsion between interacting particles
that will",False
f5378eb6785774c3:p14:q86,FALSE_POSITIVE,LOW,heuristic_foreign_marker_ocr_page_numbers,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=Which amongst the following will be most
readily dehydrated under acidic conditions ?
NO, OH",False
f5378eb6785774c3:p21:q145,TRUE_POSITIVE,HIGH,accepted_record_with_option_contamination,"quality=VALID; flags=['option_contains_foreign_question_marker']; stem=Match List I with List II :
. «
List 1 ListIE
A. Cohesion I. More attraction in
liquid phase
. .
B. ",True
f7a45c960ede2f29:p2:q3,TRUE_POSITIVE,MEDIUM,accepted_record_with_option_contamination,"quality=PARTIAL; flags=['option_contains_foreign_question_marker']; stem=A ball of mass 0.5 kg is dropped from a height
of 40 m. The ball hits the ground and rises
to a heig",False
